"komu" "ile" "kto" "kto_klub" "komu_klub"
"261" "Krystyna Skowrońska" 1 "Krzysztof Mieszkowski" "N" "PO"
"262" "Magdalena Kochan" 1 "Krzysztof Mieszkowski" "N" "PO"
"263" "Marzena Machałek" 2 "Krzysztof Mieszkowski" "N" "PiS"
"264" "Piotr Kaleta" 8 "Krzysztof Mieszkowski" "N" "PiS"
"265" "Rafał Grupiński" 1 "Krzysztof Mieszkowski" "N" "PO"
"266" "Ryszard Petru" 2 "Krzysztof Mieszkowski" "N" "N"
"267" "sprawozdawca otrzymuje tekst projektu uchwały" 1 "Krzysztof Mieszkowski" "N" "PiS"
"268" "Borys Budka" 2 "Patryk Jaki" "PiS" "PO"
"269" "Cezary Grabarczyk" 1 "Patryk Jaki" "PiS" "PO"
"270" "Grzegorz Schetyna" 2 "Patryk Jaki" "PiS" "PO"
"271" "Jakub Rutnicki" 1 "Patryk Jaki" "PiS" "PO"
"272" "Krystyna Pawłowicz" 1 "Patryk Jaki" "PiS" "PiS"
"273" "Krystyna Skowrońska" 1 "Patryk Jaki" "PiS" "PO"
"274" "Magdalena Kochan" 1 "Patryk Jaki" "PiS" "PO"
"275" "Małgorzata Kidawa-Błońska" 1 "Patryk Jaki" "PiS" "PO"
"276" "Rafał Grupiński" 4 "Patryk Jaki" "PiS" "PO"
"277" "Robert Kropiwnicki" 3 "Patryk Jaki" "PiS" "PO"
"278" "Ryszard Petru" 1 "Patryk Jaki" "PiS" "N"
"279" "Stefan Niesiołowski" 3 "Patryk Jaki" "PiS" "PO"
"280" "Adam Abramowicz" 1 "Grzegorz Furgo" "N" "PiS"
"281" "Agnieszka Hanajczyk" 1 "Grzegorz Furgo" "N" "PO"
"282" "Anna Paluch" 2 "Grzegorz Furgo" "N" "PiS"
"283" "Elżbieta Witek" 1 "Grzegorz Furgo" "N" "PiS"
"284" "Jakub Rutnicki" 3 "Grzegorz Furgo" "N" "PO"
"285" "Joachim Brudziński" 1 "Grzegorz Furgo" "N" "PiS"
"286" "Joanna Scheuring-Wielgus" 2 "Grzegorz Furgo" "N" "N"
"287" "Krystyna Pawłowicz" 1 "Grzegorz Furgo" "N" "PiS"
"288" "Krystyna Skowrońska" 1 "Grzegorz Furgo" "N" "PO"
"289" "Marzena Machałek" 1 "Grzegorz Furgo" "N" "PiS"
"290" "Piotr Kaleta" 1 "Grzegorz Furgo" "N" "PiS"
"291" "Szymon Giżyński" 1 "Grzegorz Furgo" "N" "PiS"
"292" "Bogdan Rzońca" 1 "Adam Szłapka" "N" "PiS"
"293" "Jarosław Zieliński" 1 "Adam Szłapka" "N" "PiS"
"294" "Krystyna Pawłowicz" 3 "Adam Szłapka" "N" "PiS"
"295" "Marzena Machałek" 3 "Adam Szłapka" "N" "PiS"
"296" "Michał Szczerba" 1 "Adam Szłapka" "N" "PO"
"297" "Piotr Apel" 2 "Adam Szłapka" "N" "Kukiz15"
"298" "Piotr Kaleta" 4 "Adam Szłapka" "N" "PiS"
"299" "Rafał Grupiński" 2 "Adam Szłapka" "N" "PO"
"300" "Sylwester Tułajew" 1 "Adam Szłapka" "N" "PiS"
"301" "Sławomir Nitras" 1 "Szymon Szynkowski vel Sęk" "PiS" "PO"
"302" "Adam Abramowicz" 1 "Monika Rosa" "N" "PiS"
"303" "Barbara Dziuk" 3 "Monika Rosa" "N" "PiS"
"304" "Dominik Tarczyński" 1 "Monika Rosa" "N" "PiS"
"305" "Elżbieta Kruk" 1 "Monika Rosa" "N" "PiS"
"306" "Iwona Arent" 1 "Monika Rosa" "N" "PiS"
"307" "Krystyna Pawłowicz" 1 "Monika Rosa" "N" "PiS"
"308" "Krystyna Skowrońska" 1 "Monika Rosa" "N" "PO"
"309" "Krzysztof Brejza" 1 "Monika Rosa" "N" "PO"
"310" "Rafał Grupiński" 2 "Monika Rosa" "N" "PO"
"311" "Szymon Giżyński" 1 "Monika Rosa" "N" "PiS"
"312" "Tomasz Latos" 1 "Monika Rosa" "N" "PiS"
"313" "Anna Elżbieta Sobecka" 1 "Michał Szczerba" "PO" "PiS"
"314" "Anna Paluch" 1 "Michał Szczerba" "PO" "PiS"
"315" "Arkadiusz Czartoryski" 3 "Michał Szczerba" "PO" "PiS"
"316" "Arkadiusz Mularczyk" 1 "Michał Szczerba" "PO" "PiS"
"317" "Beata Mazurek" 1 "Michał Szczerba" "PO" "PiS"
"318" "Cezary Grabarczyk" 1 "Michał Szczerba" "PO" "PO"
"319" "Ewa Kopacz" 1 "Michał Szczerba" "PO" "PO"
"320" "Grzegorz Schetyna" 1 "Michał Szczerba" "PO" "PO"
"321" "Iwona Ewa Arent" 1 "Michał Szczerba" "PO" "PiS"
"322" "Jakub Rutnicki" 2 "Michał Szczerba" "PO" "PO"
"323" "Jan Warzecha" 1 "Michał Szczerba" "PO" "PiS"
"324" "Krystyna Pawłowicz" 1 "Michał Szczerba" "PO" "PiS"
"325" "Krystyna Skowrońska" 4 "Michał Szczerba" "PO" "PO"
"326" "Marek Suski" 1 "Michał Szczerba" "PO" "PiS"
"327" "Marzena Machałek" 1 "Michał Szczerba" "PO" "PiS"
"328" "Piotr Kaleta" 1 "Michał Szczerba" "PO" "PiS"
"329" "przemawia przy wyłączonym mikrofonie" 1 "Michał Szczerba" "PO" "PiS"
"330" "Rafał Grupiński" 1 "Michał Szczerba" "PO" "PO"
"331" "Wojciech Skurkiewicz" 1 "Michał Szczerba" "PO" "PiS"
"332" "Anna Paluch" 2 "Mirosław Suchoń" "N" "PiS"
"333" "Arkadiusz Czartoryski" 1 "Mirosław Suchoń" "N" "PiS"
"334" "Bogdan Rzońca" 1 "Mirosław Suchoń" "N" "PiS"
"335" "Gabriela Masłowska" 2 "Mirosław Suchoń" "N" "PiS"
"336" "Grzegorz Raniewicz" 2 "Mirosław Suchoń" "N" "PO"
"337" "Ireneusz Raś" 1 "Mirosław Suchoń" "N" "PO"
"338" "Iwona Śledzińska-Katarasińska" 2 "Mirosław Suchoń" "N" "PO"
"339" "Jakub Rutnicki" 1 "Mirosław Suchoń" "N" "PO"
"340" "Jolanta Szczypińska" 1 "Mirosław Suchoń" "N" "PiS"
"341" "Krystyna Pawłowicz" 7 "Mirosław Suchoń" "N" "PiS"
"342" "Marek Suski" 2 "Mirosław Suchoń" "N" "PiS"
"343" "Marzena Machałek" 2 "Mirosław Suchoń" "N" "PiS"
